uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:80,skos:Concept,80,colt:secundairekenmerktypes,,siltsteenbanken,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:78,skos:Concept,78,colt:secundairekenmerktypes,,siltsteenklasten,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:27,skos:Concept,27,colt:secundairekenmerktypes,,steenbrokjes,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:4,skos:Concept,4,colt:secundairekenmerktypes,,tonstein,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:21,skos:Concept,21,colt:secundairekenmerktypes,,vals dak,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:18,skos:Concept,18,colt:secundairekenmerktypes,,valse muur (vloer),,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:23,skos:Concept,23,colt:secundairekenmerktypes,,veldspaatrijk,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:26,skos:Concept,26,colt:secundairekenmerktypes,,venig / veenhoudend,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:32,skos:Concept,32,colt:secundairekenmerktypes,,verkiezeld,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
ct:22,skos:Concept,22,colt:secundairekenmerktypes,,verweerd,,,,,,,,,,,,,cs:secundairekenmerktype,,,,,,,cs:secundairekenmerktype
